FOR_Fields_Key,FOR_Field,FOR_Description,FOR_Fields_Time
df4c6843f741c57c69610023a5c0fe97,321406,Pharmacogenomics,2024-07-10
6c16d67049cf0defa65a630b08dc1824,321407,Toxicology (incl. clinical toxicology),2024-07-10
1329a42020e44fdd13de2f20d5143253,321499,Pharmacology and pharmaceutical sciences not elsewhere classified,2024-07-10
c1db3eedfab7acbc6bc1a94f688ba9b1,321501,Foetal development and medicine,2024-07-10
f27bae3f0463a29b728c92bbb2c21f96,321502,Obstetrics and gynaecology,2024-07-10
1d5138bc38ead1efb85717b74fafcf90,321503,Reproduction,2024-07-10
e2841922696eeb6dc90da5313d4abc75,321599,Reproductive medicine not elsewhere classified,2024-07-10
68539f066673ee02f03f5b209513485a,329999,Other biomedical and clinical sciences not elsewhere classified,2024-07-10
470152be04c675460087661ddc61ef5a,330101,Architectural computing and visualisation methods,2024-07-10
3df2b66d4fdb8937ecfe678d65c50d85,330102,Architectural design,2024-07-10
4fb115137bc17f7819b5ee9557ac738f,330103,Architectural heritage and conservation,2024-07-10
1a8dca37d970ecb9dcebd560a39120db,330104,"Architectural history, theory and criticism",2024-07-10
e92775f2557e8934ecc4afea90cc64eb,330105,Architectural science and technology,2024-07-10
58058caf285da777d5af7a5246964f18,330106,Architecture for disaster relief,2024-07-10
a16b327ef490c2204514a5247545b1fd,330107,Architecture management,2024-07-10
35c72cfd2073b694bee1e547d8864831,330108,Interior design,2024-07-10
8bffd0e3331a35289cfd73db6ee11ef0,330109,Landscape architecture,2024-07-10
f74ca0da0bd15f888da22c647db03c28,330110,Sustainable architecture,2024-07-10
46c76b5afbd6969697c36d7a0d396d9e,330199,Architecture not elsewhere classified,2024-07-10
9a2c934ebb3c11b9ae0de834813a14ef,330201,Automation and technology in building and construction,2024-07-10
8290196fbee04dad927fd0e956426fea,330202,Building construction management and project planning,2024-07-10
746f4776b9c8d9dcfa0048e456caca1c,330203,Building industry studies,2024-07-10
d9e5544d21f7f9fdf299e32c50002194,330204,Building information modelling and management,2024-07-10
7b7733c826639c2a591ce18eb72fa3fc,330205,Building organisational studies,2024-07-10
c926129619418c6b90b30b3c1c257a15,330206,"Building science, technologies and systems",2024-07-10
ea3ce1fb72658d6e9c4c821357c3b8b3,330207,Quantity surveying,2024-07-10
1fff7a7d11ea867a341bcbbda1cdfa05,330299,Building not elsewhere classified,2024-07-10
8b87d89c20466be32b28ceab1fb99830,330301,Data visualisation and computational (incl. parametric and generative) design,2024-07-10
daeadf10e1af023d17e80ad76bc9ae5d,330302,Design anthropology,2024-07-10
d2ca1af3efd39d8a11306fc1dfc106e7,330303,Design for disaster relief,2024-07-10
dc533d5b597d035944c3568f38100273,330304,"Design history, theory and criticism",2024-07-10
d868a067876310b78a62eec780e9063d,330305,Design management,2024-07-10
da97d3af4cb2b8133f4c140089502924,330306,Design practice and methods,2024-07-10
8293d0acf660d05110556c5bd9ec361d,330307,Ergonomics design,2024-07-10
1fd660b7d4569737f1400332d9f01926,330308,Fire safety design,2024-07-10
d412af70f3a4d9cf1a76a4bad5fd7256,330309,Industrial and product design,2024-07-10
3a48725bcb378efbd566531e56787b57,330310,Interaction and experience design,2024-07-10
a59c41da47d32215d2969be9d3d5576d,330311,Models and simulations of design,2024-07-10
63069dd7839ea2d81f94a65cbe8ff201,330312,Service design,2024-07-10
9e32e735b1d620405733531594bfb7f8,330313,Social design,2024-07-10
cb354096f38291f1e30d15c46fabd166,330314,Sustainable design,2024-07-10
117befa0edb36df97901c932654af2dc,330315,Textile and fashion design,2024-07-10
0522ea0b820feafaeec268ff40fdf381,330316,Visual communication design (incl. graphic design),2024-07-10
999738556b4e506b29201fcac175760f,330399,Design not elsewhere classified,2024-07-10
aa37bf3c9ea2260f52ee5e0f03924f0a,330401,Community planning,2024-07-10
5f4aa2d44eba56a1a8c4e070a0ef4aca,330402,History and theory of the built environment (excl. architecture),2024-07-10
4b177a96b0d2ac1a0be6ff426f7810b9,330403,"Housing markets, development and management",2024-07-10
3538aa7532fb9cd67323e6ff9a46e137,330404,Land use and environmental planning,2024-07-10
04959529b28fe388be88d3ec673196e5,330405,Public participation and community engagement,2024-07-10
ff858104498155d7fdc592cc279d0744,330406,Regional analysis and development,2024-07-10
231e70e3fa69e2cfb5bbce45d7412427,330407,Regulatory planning and development assessment,2024-07-10
b4edc95bff3f7956a5fcb13d599236d9,330408,"Strategic, metropolitan and regional planning",2024-07-10
5130249204e2fdac0c596c0ca9a09430,330409,Transport planning,2024-07-10
e22941aa082bcb54f7811ab634d98ca4,330410,Urban analysis and development,2024-07-10
1e9906c619a12a00443d3a2c3b49b8d0,330411,Urban design,2024-07-10
7ede10380b793723bc3d7c36a0e338e1,330412,Urban informatics,2024-07-10
9b699660532d9f354c7ccaf17f6e4d1f,330413,Urban planning and health,2024-07-10
d1d825986726b1a87ba1703934a8c458,330499,Urban and regional planning not elsewhere classified,2024-07-10
bb7b09568bf8641dfb1fcac2992f50c7,339999,Other built environment and design not elsewhere classified,2024-07-10
960984a21549fff8f955c64457816f6a,340101,Analytical spectrometry,2024-07-10
7b82e428cf5bdd7671ab0f1fa285a767,340102,Bioassays,2024-07-10
be2ed060362d21759618c4c55ceb3cec,340103,Electroanalytical chemistry,2024-07-10
ceeb443dcc03d0152bc9001550771964,340104,Flow analysis,2024-07-10
d7127231fd9b945f29ec802787ae2ba2,340105,Instrumental methods (excl. immunological and bioassay methods),2024-07-10
42a081a01016ad74d0bdacae5ab5def6,340106,Metabolomic chemistry,2024-07-10
5376f95cbd05151a36ff976d5bb4ed24,340107,"Quality assurance, chemometrics, traceability and metrological chemistry",2024-07-10
8b3e50e1c098caaa3f810da2e66cccc9,340108,Sensor technology (incl. chemical aspects),2024-07-10
3c7e12d33cd050e0ce25b1fb8f4d164c,340109,Separation science,2024-07-10
7e61c13ea99b3cf3c832dc0dbc7176a8,340199,Analytical chemistry not elsewhere classified,2024-07-10
92aa6b54ece6287f824dfa39d481c64c,340201,Bioinorganic chemistry,2024-07-10
b691f7c8abf4883f89fe7f3cf32246b4,340202,Crystallography,2024-07-10
40dc2d9bcedbf744517919060fe4c4d1,340203,F-block chemistry,2024-07-10
682fe0fab18742d0a1dbabbe0240e33f,340204,Inorganic green chemistry,2024-07-10
5db7977d28d0827ffdb22ad83c5c7a50,340205,Main group metal chemistry,2024-07-10
45ec9bcc5bf26c497daa1352c2cf2ea3,340206,Metal cluster chemistry,2024-07-10
fb5f57bfceaed834110eaf4556f3209c,340207,Metal organic frameworks,2024-07-10
fb7b7ba44c5f9e09b87b1e92893eb578,340208,Non-metal chemistry,2024-07-10
edb46d55d925f2b3c131717bea832ec9,340209,Organometallic chemistry,2024-07-10
b7d92ab8bf6ce6477d0dce511d2be30e,340210,Solid state chemistry,2024-07-10
3183b38078d2da0fee905eed73a7040a,340211,Transition metal chemistry,2024-07-10
8a3f6eff8cdad9c8b25724cad63ceeea,340299,Inorganic chemistry not elsewhere classified,2024-07-10
d9bde9d0941d96bcf8fc34f8f99f32c4,340301,Inorganic materials (incl. nanomaterials),2024-07-10
81299a98451bc7422c807d15918a087a,340302,Macromolecular materials,2024-07-10
d75e0f239cdebac0002c870c051c0eb5,340303,Nanochemistry,2024-07-10
34e3d6f45aa01f0c59531c5568bf8ec9,340304,Optical properties of materials,2024-07-10
f6b6d99f500899ab6f7fb2af309bfc67,340305,Physical properties of materials,2024-07-10
1ce0c9cca3e5738491b500421f0c59a2,340306,Polymerisation mechanisms,2024-07-10
cacc77779eac76d7ef675fa41e8c9196,340307,Structure and dynamics of materials,2024-07-10
f3cc2f220370fce310617ac16a1f5d99,340308,Supramolecular chemistry,2024-07-10
cd6d14c4ff16deb22f5a98c48443460b,340309,Theory and design of materials,2024-07-10
a316b35d51ecd381fd84f3fa066ba4aa,340399,Macromolecular and materials chemistry not elsewhere classified,2024-07-10
05523f56720a1b73ddf75e13edb7d2cf,340401,Biologically active molecules,2024-07-10
1d412c3295d7cc900977f5aec2a5908e,340402,Biomolecular modelling and design,2024-07-10
94a89c6549a5c731a3bac05723b10df5,340403,Characterisation of biological macromolecules,2024-07-10
c6ba66bf7a1ac946ef46412d171ff210,340404,Cheminformatics and quantitative structure-activity relationships,2024-07-10
dfe2aa19a10db7927c004a7da42d9f72,340405,Glycoconjugates,2024-07-10
5c85716751ef3ccc750b7bda2c0b889a,340406,Molecular medicine,2024-07-10
cd554b42a5447a537aa09c09ad904aa6,340407,Proteins and peptides,2024-07-10
57dfa3c6a3cfd733796aee49402c8e27,340499,Medicinal and biomolecular chemistry not elsewhere classified,2024-07-10
5a90020a4f4574432e5a1b8da50f9317,340501,Free radical chemistry,2024-07-10
e94926639774d1eafcbc629369c31831,340502,Natural products and bioactive compounds,2024-07-10
90c314d3631e4cd7fe6c04a453cdf839,340503,Organic chemical synthesis,2024-07-10
34060d9bf153c38bfb28c4c4e88de043,340504,Organic green chemistry,2024-07-10
e321c955139036bf82f499cd578106ca,340505,Physical organic chemistry,2024-07-10
1382cb9ff51cb43ec52823e9c5afa530,340599,Organic chemistry not elsewhere classified,2024-07-10
f7670ed618c7ff075a7b5b7fb15be6f8,340601,Catalysis and mechanisms of reactions,2024-07-10
2bbe70886e7cfc8d6cb2f16f51032b1b,340602,Chemical thermodynamics and energetics,2024-07-10
dde37e47c54fe6b17f62b7c065e960b3,340603,Colloid and surface chemistry,2024-07-10
a96c1c6ac254de7e7d104b7672a6f852,340604,Electrochemistry,2024-07-10
dbe453aa584d33a5d7d9f9aef22ba738,340605,Molecular imaging (incl. electron microscopy and neutron diffraction),2024-07-10
dcccbf84e83a73ebaa7be1838fee1d25,340606,Photochemistry,2024-07-10
c74fd47bb7c05ba07b0e78d37a5d5a59,340607,Reaction kinetics and dynamics,2024-07-10
a00a39014414bbf9e6e79fb8b5383260,340608,Solution chemistry,2024-07-10
ea33d82e2165b0e3aabb2709270053ad,340609,Transport properties and non-equilibrium processes,2024-07-10
05d0b2edef72cb249ffd6a7039a7eeb2,340699,Physical chemistry not elsewhere classified,2024-07-10
74cad5b492a7e42ee44d888888f1f21b,340701,Computational chemistry,2024-07-10
e94fe7e4b7daf90a696e452e72392d85,340702,Radiation and matter,2024-07-10
ecd5a120c05383ee15ce2d78f9d3397f,340703,Statistical mechanics in chemistry,2024-07-10
4cdf417669460b6504700d9390e57c57,340704,Theoretical quantum chemistry,2024-07-10
2d7c7cec15c2d6eca72a3c0af93ab0f2,340799,Theoretical and computational chemistry not elsewhere classified,2024-07-10
1ac085504491ef06332d056b8d928dae,349901,Forensic chemistry,2024-07-10
73966bcb59ab1f078655b8b1a961458c,349999,Other chemical sciences not elsewhere classified,2024-07-10
6020a19895866a079477a8a9bb164e81,350101,Accounting theory and standards,2024-07-10
6174e5b31818a489ff61e13ad1de7b64,350102,Auditing and accountability,2024-07-10
a79c243529556fef9ce374be3276a59d,350103,Financial accounting,2024-07-10
33ab3c08e806293b7ec4ff9e95f2254c,350104,International accounting,2024-07-10
14ab5406aaed6cf82554f09fa6fba161,350105,Management accounting,2024-07-10
a8d6c5f168912f0589a69172b9e2df4e,350106,Not-for-profit accounting and accountability,2024-07-10
15dd2f2adb498944cc7045858a182846,350107,Sustainability accounting and reporting,2024-07-10
5477429b22f1e516893d8546955658ef,350108,Taxation accounting,2024-07-10
c5119ed71378c337395bd69d7b814e53,350199,"Accounting, auditing and accountability not elsewhere classified",2024-07-10
4bff1ae30a5765461925dde6c0dd3e11,350201,Environment and climate finance,2024-07-10
88074dcdd831716a53250c8e6609fe3c,350202,Finance,2024-07-10
6e028f377f9e536747636bda7ad27a5c,350203,Financial econometrics,2024-07-10
b7eeccb109d70f9d20e10fd553893d94,350204,Financial institutions (incl. banking),2024-07-10
2d99e8dde1cf82355ec94ab3f08b9aed,350205,Household finance and financial literacy,2024-07-10
5245504f42e599c9c11c1a240a0e1ad8,350206,Insurance studies,2024-07-10
ba6107f5ea8edf2810b4067845356b5b,350207,International finance,2024-07-10
dee6a311b932afcf0c0e853864673184,350208,Investment and risk management,2024-07-10
7ca6ffc6118173f80d9de3ccab8bc5a1,350209,Not-for-profit finance and risk,2024-07-10
2ecf27266a36145f768bc333aa609fc1,350299,"Banking, finance and investment not elsewhere classified",2024-07-10
24d99064e447a8fcfa1b5f6999fe6952,350301,Business analytics,2024-07-10
d546579bcb228d78aac77e3c0b396a23,350302,"Business information management (incl. records, knowledge and intelligence)",2024-07-10
cee5cd33dfd3cc372e61ff3c08abdb09,350303,Business information systems,2024-07-10
1dccfcf9228cadd702e6672081e4cb03,350304,Business systems in context,2024-07-10
06897987c4149a9686be9f5972dc4e9c,350305,Forensic intelligence,2024-07-10
6fbd513f1c8f7acaa153254b61f22db9,350306,Forensic science and management,2024-07-10
b440d7834bad72d510d3587b8fbf53ea,350307,Technology management,2024-07-10
7e06b90759841c9124d52d97c6c154fe,350399,Business systems in context not elsewhere classified,2024-07-10
b9b82623f0d71deac4f66b274167e645,350401,Food and hospitality services,2024-07-10
06a7bb9a89f6df6ef6fa17d45dad1b88,350402,Hospitality management,2024-07-10
31b8f64da5a6c2ee0c7691ccd4033885,350403,Real estate and valuation services,2024-07-10
7b37ae98d07f7b0fa5c8a6bd60694747,350404,Retail,2024-07-10
ec6bf10b8bb2fa76d9816d3d1bc7f567,350405,Sport and leisure management,2024-07-10
5781499ad31b7c8f895beae400017fd1,350499,Commercial services not elsewhere classified,2024-07-10
d2957e73718615658a5bf6126761ec39,350501,Business and labour history,2024-07-10
f1471bc23e88cb9d971953f99e020188,350502,Employment equity and diversity,2024-07-10
84cf70fb73b606e539e2e7de0ba193e9,350503,Human resources management,2024-07-10
cd7f6cf8614708311ba03c03102f8910,350504,Industrial and employee relations,2024-07-10
7e0e0c1fe174b2d2efbf5ae0e2bc3ee9,350505,Occupational and workplace health and safety,2024-07-10
05d72f9cf2bd35d8e22a38d8045dcc7f,350506,Workforce planning,2024-07-10
cf8a567cdbe5d95216acd59bba3c479f,350507,Workplace wellbeing and quality of working life,2024-07-10
04a04762428a9a70fe62edcf2138d5a3,350599,Human resources and industrial relations not elsewhere classified,2024-07-10
e4215837d5df119daffad3b7e5bf5ad9,350601,Consumer behaviour,2024-07-10
40321e0b975c073e89962c4aa7759b19,350602,Consumer-oriented product or service development,2024-07-10
88e4c13a5e478e1e1061b111e83e7ed4,350603,Industrial marketing,2024-07-10
e672751600589ce55262fbeaf8a1c529,350604,Marketing communications,2024-07-10
ad6a2f1d2c354bf42785cbe2f1c3ff65,350605,Marketing management (incl. strategy and customer relations),2024-07-10
1402308c53cd3bb33af8047b54fd21f8,350606,Marketing research methodology,2024-07-10
b93e0ff0004d1a23b82e97bba55c98a1,350607,Marketing technology,2024-07-10
67468a7ae3cddfd4efe889395736f30c,350608,Marketing theory,2024-07-10
7439465183040a3119f9d97be7a48cbb,350609,Not-for-profit marketing,2024-07-10
c226923f89a7f429cbda94b4256e598e,350610,Pricing (incl. consumer value estimation),2024-07-10
7df2f4ea82a4611bd2378f13a02e9c9b,350611,Service marketing,2024-07-10
7cc3dd74d335a9deef4ee1e39b63bef2,350612,Social marketing,2024-07-10
8888a0944b3378adaaf4a0d041ba5e55,350699,Marketing not elsewhere classified,2024-07-10
651bd33676b6c5a0f6a8bd171c67aed9,350701,Corporate governance,2024-07-10
37035f009b4a590809935ebfb2302e54,350702,Corporate social responsibility,2024-07-10
33900292378d1ce04235d38a4bb2a8cc,350703,Disaster and emergency management,2024-07-10
5b1f7d9cc1ed47e0964b3f53da1e87ee,350704,Entrepreneurship,2024-07-10
e9c937956e94c3392cc852e63f8d86c4,350705,Innovation management,2024-07-10
5da76ef7025e0e1f122a61d68633d303,350706,International business,2024-07-10
364a7325455b90271fcb477f8d42d14b,350707,Leadership,2024-07-10
30dd1794afd0e3d7cb87b0d3f67cd963,350708,Not-for-profit business and management,2024-07-10
ca468eaf77857f1bdacff0494af7e15d,350709,Organisation and management theory,2024-07-10
9f0c619137a28052cfb491d36c48035a,350710,Organisational behaviour,2024-07-10
397fca5e6a86753a6b74a3dbce9e2758,350711,Organisational planning and management,2024-07-10
f753ea22da9c77d1b75e721b7a7d5506,350712,Production and operations management,2024-07-10
fbfcf407a31f570b5b0920b4fa1fd9c1,350713,Project management,2024-07-10
33f86d95a4e58e390d9f07bee534aaae,350714,Public sector organisation and management,2024-07-10
d116cea4bbc3ebb4312ba8a64e0f0ff0,350715,Quality management,2024-07-10
9ab402cc11cb3d2d900f91be0125baa6,350716,Small business organisation and management,2024-07-10
f7add4c91078114faba7de9b6d37834f,350717,Stakeholder engagement,2024-07-10
2bb4b0b1ccdb6cee1f568f92c97929e0,350718,Strategy,2024-07-10
a92502a6b869d484147847b9c53edd3c,350799,"Strategy, management and organisational behaviour not elsewhere classified",2024-07-10
f8194a9803bad54761396309699d3a2f,350801,Impacts of tourism,2024-07-10
e081f217511d37c220c2e61cb942cf6e,350802,Tourism forecasting,2024-07-10
68259c4dad0fd9502177bfce3440c982,350803,Tourism management,2024-07-10
f679f262563da39a79f0b08d2fc74cec,350804,Tourism marketing,2024-07-10
c6883032ce2fefd661a4fe9dd0b9e398,350805,Tourism resource appraisal,2024-07-10
e524a1c0f71776c59587c69290c173a7,350806,Tourist behaviour and visitor experience,2024-07-10
064c92ecaee14fb2588f0a76bf3f4ff5,350899,Tourism not elsewhere classified,2024-07-10
70e1d164a65423632622216449f9e578,350901,Air transportation and freight services,2024-07-10
afd867e0637dcddc7f9ba6efdabe982a,350902,Intelligent mobility,2024-07-10
06810bb3820bbc1fbf5a14981e968a03,350903,Logistics,2024-07-10
872c1f6968cb7b3c1eade905a69a432a,350904,Maritime transportation and freight services,2024-07-10
5e4b378b7d3e88b409384161498b7957,350905,Passenger needs,2024-07-10
ef750ee929db99b2997996660dcd2956,350906,Public transport,2024-07-10
9c765ec22cda25e210171404a656ffb5,350907,Rail transportation and freight services,2024-07-10
60a22d5c6113750b8aff6c1fcd4cb5c9,350908,Road transportation and freight services,2024-07-10
be70ae4417705f2aceabad1f177df030,350909,Supply chains,2024-07-10
49175c082c497ffa5a16eedaf13fe112,350999,"Transportation, logistics and supply chains not elsewhere classified",2024-07-10
bfc3016bc23c4cd67d399ea6c45f3c74,359999,"Other commerce, management, tourism and services not elsewhere classified",2024-07-10
8313cc3a5f27c1ab83c70b342f3909f9,360101,Art criticism,2024-07-10
a229de94df6cc3392681a7dc4a9a7b54,360102,Art history,2024-07-10
110740ea315312b121593a208b889c5d,360103,Art theory,2024-07-10
6be199d6eb8d811805f8df9811842560,360104,Visual cultures,2024-07-10
fb597841176d7115165c7b1dcab95409,360199,"Art history, theory and criticism not elsewhere classified",2024-07-10
62d16a465495a62e67183681ae33aa99,360201,Creative writing (incl. scriptwriting),2024-07-10
b0e226deccd00d62ff9ede7b316b03b5,360202,Digital writing,2024-07-10
43b81e6ccc1d474a27a9a4c0a359e932,360203,Professional writing and journalism practice,2024-07-10
c9839a59720b22852808049a14aea6cb,360204,Site-based writing,2024-07-10
fff7988c2a0b3a775308c2c12e556e73,360205,Technical writing,2024-07-10
ed63da1de4b20cf2c46d2a4491dd8e47,360299,Creative and professional writing not elsewhere classified,2024-07-10
51d1b63d9896f99d25236e189e7d78ac,360301,Music cognition,2024-07-10
47a957f3106ab87b9935b2588164e16a,360302,Music composition and improvisation,2024-07-10
dcc0ee1fdfb47d90dc570a837bcccc7d,360303,Music education,2024-07-10
522bcf027c1b390352eecf49f0483def,360304,Music performance,2024-07-10
a1766ec1bc890651003654bdd378136a,360305,Music technology and recording,2024-07-10
c504e3b6c852efc1092af6c6d7f48111,360306,Musicology and ethnomusicology,2024-07-10
e455aeaa34ff7895347e6fd25e95f924,360399,Music not elsewhere classified,2024-07-10
4045d38e6087e1452722d8e07210d936,360401,Applied theatre,2024-07-10
ea3259095cda73438490c87aa08b5bce,360402,Dance and dance studies,2024-07-10
396a5cfc158cc3ca34c9af8486790558,360403,"Drama, theatre and performance studies",2024-07-10
bbcdc1999bde6ebe04f4599bb8341a10,360499,Performing arts not elsewhere classified,2024-07-10
6d3e053bfda5a6bcac387723f4c2a04c,360501,Cinema studies,2024-07-10
fabec279dfdbf4d720c6e35f01a86edc,360502,Computer gaming and animation,2024-07-10
9cd7f7f622d84339062ca92f56910dbc,360503,Digital and electronic media art,2024-07-10
a95a713b4af9d22d1c4518f4225bda03,360504,Interactive media,2024-07-10
e3a1975e0cbbe3d2a88b5984866bc20b,360505,Screen media,2024-07-10
80ff364afa06d0b92c4ea994359aec5c,360506,Visual effects,2024-07-10
147279ac1f1349aae81eb5f603200e4f,360599,Screen and digital media not elsewhere classified,2024-07-10
53cd2e3559759a0ac58b182a58c96b10,360601,Crafts,2024-07-10
8aa7421254e269ba9cbda765ae75af2d,360602,Fine arts,2024-07-10
df2f14110b789b7bf4662a819ac670f0,360603,Performance art,2024-07-10
c173a4504844c3f733b2a1b901d3481e,360604,"Photography, video and lens-based practice",2024-07-10
68d0bbf868f3a20902bf09ea9f72883f,360699,Visual arts not elsewhere classified,2024-07-10
906ffaa57af4a45f3257e5dc30a46b6b,369999,Other creative arts and writing not elsewhere classified,2024-07-10
83b7332ec0eeb53553d3d33223e05bd9,370101,Adverse weather events,2024-07-10
f27f6fe867352ded8949cadf53d857b5,370102,Air pollution processes and air quality measurement,2024-07-10
313f1e2128139cade3c1c5e6ef1c84a0,370103,Atmospheric aerosols,2024-07-10
aba8f3cfe95beb92144bf1321830b410,370104,"Atmospheric composition, chemistry and processes",2024-07-10
184f06b1548d70c83bd10a6b5dd8c965,370105,Atmospheric dynamics,2024-07-10
f23bfe9b6960551c7b0ec3ae5ee83dd8,370106,Atmospheric radiation,2024-07-10
93c1baf33fb4be4622e94a1ca2ab3150,370107,Cloud physics,2024-07-10
beb5dc9131be98454e9c54a3f53077d6,370108,Meteorology,2024-07-10
16a215c81b4c61a138110c848bbc3656,370109,Tropospheric and stratospheric physics,2024-07-10
e91f8fe6ee247556e43fac6ffea8851d,370199,Atmospheric sciences not elsewhere classified,2024-07-10
1ca82ac90d56e4561bb2866315358e5e,370201,Climate change processes,2024-07-10
7e58af19094ad172ccf68be33bf7b09c,370202,Climatology,2024-07-10
dbcd8aab5e6146c8561d952136a3697a,370203,Greenhouse gas inventories and fluxes,2024-07-10
aca6bef74d75aa9b6001cdd9585ec1f6,370299,Climate change science not elsewhere classified,2024-07-10
7cc06d1117c60d0668d0f26ddec061f2,370301,Exploration geochemistry,2024-07-10
7a7f5ac2d90b8f512a191ed46e446fca,370302,Inorganic geochemistry,2024-07-10
425f373f629f7f84acd9cbb5e82bc9b1,370303,Isotope geochemistry,2024-07-10
9fb1f5e56f91a1ec80496838c44e3297,370304,Organic geochemistry,2024-07-10
75bd1f1effabe1b8b76bfd365f92a8db,370399,Geochemistry not elsewhere classified,2024-07-10
f6b8a11d8bbb31e8401652da71040b74,370401,Computational modelling and simulation in earth sciences,2024-07-10
2922a3921a247328c994edd53bebd119,370402,Earth and space science informatics,2024-07-10
5b79728669dc51b1d5710331246b7923,370403,Geoscience data visualisation,2024-07-10
a47c1d85317f73a920eff8995fc2dfbf,370499,Geoinformatics not elsewhere classified,2024-07-10
b7512f6908921d474103b3274422afb2,370501,Biomineralisation,2024-07-10
306221829c501491495acd9d113677dd,370502,Geochronology,2024-07-10
a892118e119d2104d904a7c8a84fbbec,370503,Igneous and metamorphic petrology,2024-07-10
00b5b66f70a7b486195837da0e75aef6,370504,Marine geoscience,2024-07-10
49862080562354f7d95b2da63e4a9959,370505,Mineralogy and crystallography,2024-07-10
a75fdddd06c535cf7154c2c1e855cb09,370506,Palaeontology (incl. palynology),2024-07-10
68d0568a12294dcbb4831a066fb4815d,370507,Planetary geology,2024-07-10
836ac38ca19a7b7e477e609d2689ab09,370508,Resource geoscience,2024-07-10
3e59db9bb51802c2ef7034793296b724,370509,Sedimentology,2024-07-10
66c83ac470a74403481789a97832d7fb,370510,"Stratigraphy (incl. biostratigraphy, sequence stratigraphy and basin analysis)",2024-07-10
109d8cd709fbbf64af1c3af06be5daa9,370511,Structural geology and tectonics,2024-07-10
78b44eb1ca10b96c6c611eaaae7704e3,370512,Volcanology,2024-07-10
92db0859e83cb5ac30b21c2808b95174,370599,Geology not elsewhere classified,2024-07-10
4b9949cb91f0c646cffbfe8d8ac15cd0,370601,Applied geophysics,2024-07-10
4b82d04b452a7cba27b15b47c7c0b25d,370602,Electrical and electromagnetic methods in geophysics,2024-07-10
327a1ffc4c1a079196c90d3d876ceb9f,370603,Geodesy,2024-07-10
5fd5a9059ea54e0cc3e6cec308b8966b,370604,Geodynamics,2024-07-10
c5f59902fd94a74099865957cf94db76,370605,Geothermics and radiometrics,2024-07-10
42a2fe7084cf206cc3960dfed527824a,370606,Gravimetrics,2024-07-10
62c5480c707e8a6ac9dc94391dd84b03,370607,Magnetism and palaeomagnetism,2024-07-10
09d0291b3f089d0c212be7b98227f606,370608,Petrophysics and rock mechanics,2024-07-10
2f46e4cb2f3d2ec6ef8edcc87b556181,370609,Seismology and seismic exploration,2024-07-10
6546ec9edecae57f2dbb9f79d3e94371,370699,Geophysics not elsewhere classified,2024-07-10
1e1caab15bbcf11f9dca3b928fcd76f0,370701,Contaminant hydrology,2024-07-10
321b6c3178ed303721f43f6ed6cd27a3,370702,Ecohydrology,2024-07-10
b8975010f0dee1b1946bdff3bfc81b76,370703,Groundwater hydrology,2024-07-10
8f8299102e705503451db8ba953873b8,370704,Surface water hydrology,2024-07-10
0c97750434c0b00d3c25382416524413,370705,Urban hydrology,2024-07-10
e337ec4b23e471eb31c13fae44d2cd59,370799,Hydrology not elsewhere classified,2024-07-10
c6003884f8ca2b42b5caf0758fd74615,370801,Biological oceanography,2024-07-10
476a2a1a2960657eea86f10f5322f57d,370802,Chemical oceanography,2024-07-10
7ce745960d65a57724eff815d3bd9fd8,370803,Physical oceanography,2024-07-10
5d4e5fcc113c771673daffdb2dcae516,370899,Oceanography not elsewhere classified,2024-07-10
d6e2b8950180b1d0ccb1430c1966a103,370901,Geomorphology and earth surface processes,2024-07-10
bcb412fd65d8e8ad6fcdc244092bb499,370902,Glaciology,2024-07-10
29130eefcac6e3c6b537237083839bfa,370903,Natural hazards,2024-07-10
26741f0ff4ef433d168e64fe31040f38,370904,Palaeoclimatology,2024-07-10
3ce9bb0ba27225692d113b300330197f,370905,Quaternary environments,2024-07-10
4e45d8fd88b91fbae33f3ae31073b8bd,370906,Regolith and landscape evolution,2024-07-10
373d0b43c5211615c2ec9de0ec9617b0,370999,Physical geography and environmental geoscience not elsewhere classified,2024-07-10
6d31420fc1fa5e7c24ef8a3d18eb777c,379901,Earth system sciences,2024-07-10
fcf4b487166dca19157ebf57857a1815,379999,Other earth sciences not elsewhere classified,2024-07-10
ab7e9643a495e9972eec5bceb6ea7b63,380101,Agricultural economics,2024-07-10
eb40b381fcb14497618e1328318eba65,380102,Behavioural economics,2024-07-10
30c187df9ec2436fe582208d8a1ce425,380103,Economic history,2024-07-10
5f86554a81c629817ad2adcf7a77f269,380104,Economics of education,2024-07-10
b369b7133fd528c65e0c811834294c23,380105,Environment and resource economics,2024-07-10
1688d576588df85cace37197fc9d8b25,380106,Experimental economics,2024-07-10
efb267fc08472bdccfbfd11555545719,380107,Financial economics,2024-07-10
000cc9657493b07eadec7d31ec3e1d7d,380108,Health economics,2024-07-10
b3342d0edabc3159730d6927dced60cb,380109,Industry economics and industrial organisation,2024-07-10
529dbdcd5caf8b353bfffea4da1ee10f,380110,International economics,2024-07-10
0486912a6f6b08bdc9fcda55f3c05a3d,380111,Labour economics,2024-07-10
829c943f10aaa5f9ace9440fe56bdebc,380112,Macroeconomics (incl. monetary and fiscal theory),2024-07-10
09b0e3a9f7113a8cd8a6afc68712d08b,380113,Public economics - public choice,2024-07-10
